kommun_kod,kommun_namn,lan,org_nr,webbplats,diarium_url,contact_count,confidence,verified_at,notes
1446,Karlsborg,Västra Götalands län,212000-1629,https://www.karlsborg.se,,3,high,2026-05-17,
1447,Gullspång,Västra Götalands län,212000-1637,https://gullspang.se,,4,medium,2026-05-17,
1452,Tranemo,Västra Götalands län,212000-1462,https://www.tranemo.se,,1,medium,2026-05-17,
1460,Bengtsfors,Västra Götalands län,212000-1470,http://www.bengtsfors.se,,2,medium,2026-05-16,
1461,Mellerud,Västra Götalands län,212000-1488,https://www.mellerud.se/,,4,high,2026-05-17,
1462,Lilla Edet,Västra Götalands län,212000-1496,http://www.lillaedet.se,,3,medium,2026-05-17,
1463,Mark,Västra Götalands län,212000-1504,http://www.mark.se,,2,medium,2026-05-17,
1465,Svenljunga,Västra Götalands län,212000-1512,https://www.svenljunga.se,,2,medium,2026-05-17,
1466,Herrljunga,Västra Götalands län,212000-1520,http://www.herrljunga.se,,0,low,2026-05-17,homepage fetch failed: fetch failed
1470,Vara,Västra Götalands län,212000-2924,https://www.vara.se,,1,medium,2026-05-17,
1471,Götene,Västra Götalands län,212000-1652,https://www.gotene.se,,4,high,2026-05-17,
1472,Tibro,Västra Götalands län,212000-1660,http://www.tibro.se,,3,high,2026-05-17,
1473,Töreboda,Västra Götalands län,212000-1678,https://toreboda.se,,2,medium,2026-05-17,
1480,Göteborg,Västra Götalands län,212000-1355,http://www.goteborg.se,,2,medium,2026-05-17,
1481,Mölndal,Västra Götalands län,212000-1363,http://www.molndal.se,,3,medium,2026-05-17,
1482,Kungälv,Västra Götalands län,212000-1371,https://www.kungalv.se,,5,medium,2026-05-17,
1484,Lysekil,Västra Götalands län,212000-1389,http://www.lysekil.se,,2,medium,2026-05-17,
1485,Uddevalla,Västra Götalands län,212000-1397,https://www.uddevalla.se/,,1,medium,2026-05-17,
1486,Strömstad,Västra Götalands län,212000-1405,http://www.stromstad.se,,3,high,2026-05-17,
1487,Vänersborg,Västra Götalands län,212000-1538,http://www.vanersborg.se,,10,medium,2026-05-17,
1488,Trollhättan,Västra Götalands län,212000-1546,https://www.trollhattan.se/,,4,high,2026-05-17,
1489,Alingsås,Västra Götalands län,212000-1553,https://www.alingsas.se/,,3,medium,2026-05-16,
1490,Borås,Västra Götalands län,212000-1561,https://www.boras.se,,3,medium,2026-05-16,
1491,Ulricehamn,Västra Götalands län,212000-1579,https://www.ulricehamn.se,,1,medium,2026-05-17,
